ID,Year,Award,Winner,Award Motivation,Link on official website
2007 - Medicine / Physiology,2007,Medicine / Physiology,"Oliver Smithies, Martin Evans, Mario Capecchi","""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/
2008 - Medicine / Physiology,2008,Medicine / Physiology,"Harald zur Hausen, Françoise Barré-Sinoussi, Luc Montagnier","""for his discovery of human papilloma viruses causing cervical cancer""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/
2008 - Literature,2008,Literature,J. M. G. Le Clézio,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2008/
2008 - Peace,2008,Peace,Martti Ahtisaari,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2008/
2008 - Chemestry,2008,Chemestry,"Roger Y. Tsien, Martin Chalfie, Osamu Shimomura","""for the discovery and development of the green fluorescent protein, GFP""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/
2008 - Economics,2008,Economics,Paul Krugman,"""for his analysis of trade patterns and location of economic activity""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2008/
2008 - Physics,2008,Physics,"Makoto Kobayashi, Yoichiro Nambu, Toshihide Maskawa","""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2008/
2009 - Peace,2009,Peace,Barack Obama,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2009/
2009 - Physics,2009,Physics,"George E. Smith, Willard S. Boyle, Charles K. Kao","""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2009/
2009 - Economics,2009,Economics,"Elinor Ostrom, Oliver E. Williamson","""for her analysis of economic governance, especially the commons""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2009/
2009 - Medicine / Physiology,2009,Medicine / Physiology,"Jack W. Szostak, Carol W. Greider, Elizabeth Blackburn","""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/
2009 - Literature,2009,Literature,Herta Müller,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2009/
2009 - Chemestry,2009,Chemestry,"Thomas A. Steitz, Venkatraman Ramakrishnan, Ada Yonath","""for studies of the structure and function of the ribosome""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/
2010 - Physics,2010,Physics,"Andre Geim, Konstantin Novoselov","""for groundbreaking experiments regarding the two-dimensional material graphene""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2010/
2010 - Peace,2010,Peace,Liu Xiaobo,"""for his long and non-violent struggle for fundamental human rights in China""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2010/
2010 - Literature,2010,Literature,Mario Vargas Llosa,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2010/
2010 - Economics,2010,Economics,"Dale T. Mortensen, Peter A. Diamond, Christopher A. Pissarides","""for their analysis of markets with search frictions""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2010/
2010 - Chemestry,2010,Chemestry,"Ei-ichi Negishi, Akira Suzuki, Richard F. Heck","""for palladium-catalyzed cross couplings in organic synthesis""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/
2010 - Medicine / Physiology,2010,Medicine / Physiology,Robert G. Edwards,"""for the development of in vitro fertilization""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2010/
2011 - Medicine / Physiology,2011,Medicine / Physiology,"Bruce Beutler, Ralph M. Steinman, Jules A. Hoffmann","""for their discoveries concerning the activation of innate immunity""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/
2011 - Chemestry,2011,Chemestry,Dan Shechtman,"""for the discovery of quasicrystals""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2011/
2011 - Peace,2011,Peace,"Leymah Gbowee, Ellen Johnson Sirleaf, Tawakel Karman","""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2011/
2011 - Physics,2011,Physics,"Adam G. Riess, Brian Schmidt, Saul Perlmutter","""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2011/
2011 - Economics,2011,Economics,"Christopher A. Sims, Thomas J. Sargent","""for their empirical research on cause and effect in the macroeconomy""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2011/
2011 - Literature,2011,Literature,Tomas Tranströmer,"""because, through his condensed, translucent images, he gives us fresh access to reality""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2011/
2012 - Economics,2012,Economics,"Alvin E. Roth, Lloyd S. Shapley","""for the theory of stable allocations and the practice of market design""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2012/
2012 - Chemestry,2012,Chemestry,"Brian K. Kobilka, Robert J. Lefkowitz","""for studies of G-protein-coupled receptors""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2012/
2012 - Peace,2012,Peace,European Union,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2012/
2012 - Medicine / Physiology,2012,Medicine / Physiology,"John B. Gurdon, Shinya Yamanaka","""for the discovery that mature cells can be reprogrammed to become pluripotent""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2012/
2012 - Literature,2012,Literature,Mo Yan,"""who with hallucinatory realism merges folk tales, history and the contemporary""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2012/
2012 - Physics,2012,Physics,"Serge Haroche, David J. Wineland","""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2012/
2013 - Literature,2013,Literature,Alice Munro,"""master of the contemporary short story""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2013/
2013 - Economics,2013,Economics,"Eugene F. Fama, Robert J. Shiller, Lars Peter Hansen","""for their empirical analysis of asset prices""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2013/
2013 - Physics,2013,Physics,"Peter W. Higgs, François Englert","""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2013/
2013 - Medicine / Physiology,2013,Medicine / Physiology,"Thomas C. Südhof, James E. Rothman, Randy W. Schekman","""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2013/
2013 - Chemestry,2013,Chemestry,"Martin Karplus, Arieh Warshel, Michael Levitt","""for the development of multiscale models for complex chemical systems""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2013/
2013 - Peace,2013,Peace,Organisation for the Prohibition of Chemical Weapons,"""for its extensive efforts to eliminate chemical weapons""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2013/
2014 - Chemestry,2014,Chemestry,"Stefan Hell, William Moerner, Eric Betzig","""for the development of super-resolved fluorescence microscopy""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/2014/
2014 - Physics,2014,Physics,"Shuji Nakamura, Isamu Akasaki, Hiroshi Amano","""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",http://www.nobelprize.org/nobel_prizes/physics/laureates/2014/
2014 - Medicine / Physiology,2014,Medicine / Physiology,"May-Britt Moser, Edvard Moser, John O'Keefe","""for their discoveries of cells that constitute a positioning system in the brain""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/2014/
2014 - Literature,2014,Literature,Patrick Modiano,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""",http://www.nobelprize.org/nobel_prizes/literature/laureates/2014/
2014 - Peace,2014,Peace,"Kailash Satyarthi, Malala Yousafzai","""for their struggle against the suppression of children and young people and for the right of all children to education""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2014/
2014 - Economics,2014,Economics,Jean Tirole,"""for his analysis of market power and regulation""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2014/
