ID,Year,Award,Winner,Award Motivation,Link on official website
1970 - Medicine / Physiology,1970,Medicine / Physiology,"Julius Axelrod, Bernard Katz, Ulf von Euler","""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1970/
1970 - Chemestry,1970,Chemestry,Luis Federico Leloir,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1970/
1970 - Peace,1970,Peace,Norman Borlaug,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1970/
1970 - Economics,1970,Economics,Paul Samuelson,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1970/
1971 - Physics,1971,Physics,Dennis Gabor,"""for his invention and development of the holographic method""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1971/
1971 - Medicine / Physiology,1971,Medicine / Physiology,Earl Wilbur Sutherland Jr.,"""for his discoveries concerning the mechanisms of the action of hormones""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1971/
1971 - Chemestry,1971,Chemestry,Gerhard Herzberg,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1971/
1971 - Literature,1971,Literature,Pablo Neruda,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1971/
1971 - Economics,1971,Economics,Simon Kuznets,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1971/
1971 - Peace,1971,Peace,Willy Brandt,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1971/
1972 - Chemestry,1972,Chemestry,"William Howard Stein, Christian B. Anfinsen, Stanford Moore","""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1972/
1972 - Medicine / Physiology,1972,Medicine / Physiology,"Gerald Edelman, Rodney Robert Porter","""for their discoveries concerning the chemical structure of antibodies""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1972/
1972 - Literature,1972,Literature,Heinrich Böll,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1972/
1972 - Physics,1972,Physics,"John Bardeen, John Robert Schrieffer, Leon Cooper","""for their jointly developed theory of superconductivity, usually called the BCS-theory""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1972/
1972 - Economics,1972,Economics,"Kenneth Arrow, John Hicks","""for their pioneering contributions to general economic equilibrium theory and welfare theory""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1972/
1973 - Chemestry,1973,Chemestry,"Ernst Otto Fischer, Geoffrey Wilkinson","""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1973/
1973 - Peace,1973,Peace,"Henry Kissinger, Le Duc Tho",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1973/
1973 - Medicine / Physiology,1973,Medicine / Physiology,"Konrad Lorenz, Nikolaas Tinbergen, Karl von Frisch","""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1973/
1973 - Physics,1973,Physics,"Ivar Giaever, Leo Esaki, Brian David Josephson","""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1973/
1973 - Literature,1973,Literature,Patrick White,"""for an epic and psychological narrative art which has introduced a new continent into literature""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1973/
1973 - Economics,1973,Economics,Wassily Leontief,"""for the development of the input-output method and for its application to important economic problems""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1973/
1974 - Medicine / Physiology,1974,Medicine / Physiology,"Christian de Duve, Albert Claude, George Emil Palade","""for their discoveries concerning the structural and functional organization of the cell""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1974/
1974 - Literature,1974,Literature,"Harry Martinson, Eyvind Johnson","""for a narrative art, far-seeing in lands and ages, in the service of freedom""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1974/
1974 - Economics,1974,Economics,"Gunnar Myrdal, Friedrich Hayek","""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1974/
1974 - Physics,1974,Physics,"Antony Hewish, Martin Ryle","""for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1974/
1974 - Chemestry,1974,Chemestry,Paul Flory,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1974/
1974 - Peace,1974,Peace,"Seán MacBride, Eisaku Satō",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1974/
1975 - Physics,1975,Physics,"James Rainwater, Ben Roy Mottelson, Aage Bohr","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1975/
1975 - Peace,1975,Peace,Andrei Sakharov,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1975/
1975 - Medicine / Physiology,1975,Medicine / Physiology,"Renato Dulbecco, David Baltimore, Howard Martin Temin","""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1975/
1975 - Literature,1975,Literature,Eugenio Montale,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1975/
1975 - Chemestry,1975,Chemestry,"John Cornforth, Vladimir Prelog","""for his work on the stereochemistry of enzyme-catalyzed reactions""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1975/
1975 - Economics,1975,Economics,"Tjalling Koopmans, Leonid Kantorovich","""for their contributions to the theory of optimum allocation of resources""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1975/
1976 - Medicine / Physiology,1976,Medicine / Physiology,"Baruch Samuel Blumberg, Daniel Carleton Gajdusek","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1976/
1976 - Peace,1976,Peace,"Betty Williams, Mairead Maguire",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1976/
1976 - Physics,1976,Physics,"Samuel C. C. Ting, Burton Richter","""for their pioneering work in the discovery of a heavy elementary particle of a new kind""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1976/
1976 - Economics,1976,Economics,Milton Friedman,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1976/
1976 - Literature,1976,Literature,Saul Bellow,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1976/
1976 - Chemestry,1976,Chemestry,William Lipscomb,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1976/
1977 - Peace,1977,Peace,Amnesty International,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1977/
1977 - Economics,1977,Economics,"Bertil Ohlin, James Meade","""for their pathbreaking contribution to the theory of international trade and international capital movements""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1977/
1977 - Chemestry,1977,Chemestry,Ilya Prigogine,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1977/
1977 - Physics,1977,Physics,"Philip Warren Anderson, Nevill Francis Mott, John Hasbrouck Van Vleck","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1977/
1977 - Medicine / Physiology,1977,Medicine / Physiology,"Rosalyn Sussman Yalow, Roger Guillemin, Andrew Schally","""for their discoveries concerning the peptide hormone production of the brain""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1977/
1977 - Literature,1977,Literature,Vicente Aleixandre,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1977/
1978 - Peace,1978,Peace,"Anwar Sadat, Menachem Begin",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1978/
1978 - Economics,1978,Economics,Herbert A. Simon,"""for his pioneering research into the decision-making process within economic organizations""",http://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/1978/
1978 - Literature,1978,Literature,Isaac Bashevis Singer,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1978/
1978 - Chemestry,1978,Chemestry,Peter D. Mitchell,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1978/
1978 - Physics,1978,Physics,"Arno Allan Penzias, Robert Woodrow Wilson, Pyotr Kapitsa","""for his basic inventions and discoveries in the area of low-temperature physics""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1978/
1978 - Medicine / Physiology,1978,Medicine / Physiology,"Werner Arber, Daniel Nathans, Hamilton O. Smith","""for the discovery of restriction enzymes and their application to problems of molecular genetics""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1978/
1979 - Medicine / Physiology,1979,Medicine / Physiology,"Allan McLeod Cormack, Godfrey Hounsfield","""for the development of computer assisted tomography""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1979/
1979 - Chemestry,1979,Chemestry,"Georg Wittig, Herbert C. Brown","""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1979/
1979 - Peace,1979,Peace,Mother Teresa,,http://www.nobelprize.org/nobel_prizes/peace/laureates/1979/
1979 - Literature,1979,Literature,Odysseas Elytis,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1979/
1979 - Physics,1979,Physics,"Abdus Salam, Sheldon Lee Glashow, Steven Weinberg","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1979/
