School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Jefferson Elementary,Tracy,San Joaquin County,,89%,10%,0%,2%,9%,8%,9%,4%,4%,23%,38%,30%,1037,918,101,0,18,944,957,944,995,999,100%,15,"36.512109,-121.126065",618810,"Anthony C. Traina Elementary,California Virtual Academy @ San Mateo,Daniel Webster Elementary,Franklin Delano Roosevelt Elementary,Garden Village Elementary,George Washington Elementary,John F. Kennedy Elementary,Margaret Pauline Brown Elementary,Thomas Edison Elementary,Marjorie H. Tobias Elementary,Westlake Elementary,Woodrow Wilson Elementary,Monticello Elementary,Susan B. Anthony Elementary,Tom Hawkins Elementary"
Gonzales Unified,Gonzales,Monterey County,,98%,2%,0%,0%,2%,2%,2%,2%,0%,28%,78%,15%,192,188,4,0,0,188,188,188,188,192,100%,1,"36.51507,-121.420748",600046,La Gloria Elementary
Dinuba Unified,Dinuba,Tulare County,,96%,3%,0%,1%,3%,2%,3%,1%,2%,48%,76%,24%,570,548,19,0,3,551,557,553,564,556,100%,6,"36.517447,-119.392615",600065,"John F. Kennedy Elementary,Grand View Elementary,Jefferson Elementary,Lincoln Elementary,Wilson Elementary,Roosevelt Elementary"
Monson-Sultana Joint Union Elementary,Dinuba,Tulare County,,95%,5%,0%,0%,2%,2%,0%,0%,0%,51%,71%,34%,42,40,2,0,0,41,41,42,42,42,100%,1,"36.518908,-119.331093",625350,Monson-Sultana Elementary
Caruthers Unified,Caruthers,Fresno County,,91%,9%,0%,0%,7%,6%,6%,1%,0%,43%,85%,21%,116,106,10,0,0,108,109,109,115,116,100%,1,"36.529263,-119.843195",600067,Caruthers Elementary
Panoche Elementary,Paicines,San Benito County,,,,,,,,,,,30%,100%,0%,,,,,,,,,,,0%,1,"36.538696,-120.77347",629770,Panoche Elementary
Washington Union Elementary,Salinas,Monterey County,,83%,11%,0%,6%,12%,14%,13%,7%,14%,7%,4%,0%,118,98,13,0,7,104,102,103,110,102,100%,1,"36.546503,-121.70133",641610,Toro Park Elementary
Alvina Elementary,Caruthers,Fresno County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,48%,72%,19%,19,19,0,0,0,19,19,19,19,19,100%,1,"36.553514,-119.787745",602370,Alvina Elementary Charter
Golden Plains Unified,Cantua Creek,Fresno County,,97%,2%,1%,0%,3%,3%,2%,2%,1%,55%,79%,44%,161,156,4,1,0,156,156,157,158,159,100%,3,"36.555766,-120.257248",691134,"Cantua Elementary,San Joaquin Elementary,Tranquillity Elementary"
Clay Joint Elementary,Kingsburg,Fresno County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,34%,17%,20%,24,23,0,0,1,23,23,23,23,23,100%,1,"36.557671,-119.512328",608850,Clay Elementary
Monroe Elementary,Fresno,Fresno County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,55%,77%,16%,33,33,0,0,0,33,33,33,33,33,100%,1,"36.562378,-119.739254",625290,Monroe Elementary
Selma Unified,Selma,Fresno County,,98%,1%,0%,0%,1%,1%,2%,2%,1%,40%,71%,22%,527,518,6,1,2,520,520,519,519,520,100%,8,"36.564794,-119.626515",636270,"Andrew Jackson Elementary,Eric White Elementary,George Washington Elementary,Indianola Elementary,James Garfield Elementary,Theodore Roosevelt Elementary,Terry Elementary,Woodrow Wilson Elementary"
Spreckels Union Elementary,Spreckels,Monterey County,,94%,5%,0%,1%,4%,4%,4%,3%,1%,19%,11%,5%,100,94,5,0,1,96,96,96,97,99,100%,1,"36.57976,-121.636631",637710,Spreckels Elementary
Raisin City Elementary,Raisin City,Fresno County,,91%,9%,0%,0%,2%,5%,5%,2%,2%,48%,88%,26%,57,52,5,0,0,56,54,54,56,56,100%,1,"36.583339,-119.96014",631680,Raisin City Elementary
Chualar Union,Chualar,Monterey County,,90%,10%,0%,0%,8%,8%,8%,8%,6%,19%,83%,10%,48,43,5,0,0,44,44,44,44,45,100%,1,"36.589737,-121.474644",608580,Chualar Elementary
