School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Palo Verde Union Elementary,Tulare,Tulare County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,47%,79%,28%,55,55,0,0,0,55,55,55,55,55,100%,1,"36.112364,-119.385131",629670,Palo Verde Elementary
Waukena Joint Union Elementary,Tulare,Tulare County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,43%,77%,14%,28,27,0,0,1,27,27,27,27,27,100%,1,"36.14193,-119.4964",641820,Waukena Joint Union Elementary
Sunnyside Union Elementary,Strathmore,Tulare County,,97%,3%,0%,0%,0%,0%,3%,0%,0%,54%,78%,35%,37,36,1,0,0,37,37,36,37,37,100%,1,"36.145846,-119.14463",638430,Sunnyside Elementary
Strathmore Union Elementary,Strathmore,Tulare County,,99%,1%,0%,0%,1%,0%,0%,0%,0%,37%,93%,23%,105,104,1,0,0,104,105,105,105,105,50%,2,"36.16707,-118.987063",638130,"Strathmore Elementary,Strathmore Community Day"
Buena Vista Elementary,Tulare,Tulare County,,93%,0%,0%,7%,7%,7%,7%,7%,7%,44%,58%,13%,14,13,0,0,1,13,13,13,13,13,100%,1,"36.170948,-119.434532",606420,Buena Vista Elementary
Tulare City,Tulare,Tulare County,,98%,1%,0%,1%,2%,2%,2%,2%,1%,34%,70%,17%,1160,1135,8,1,16,1136,1141,1141,1142,1143,100%,11,"36.172706,-119.311536",639870,"Mission Valley Elementary,Alpine Vista,Frank Kohn Elementary,Garden Elementary,Lincoln Elementary,Maple Elementary,Roosevelt Elementary,Wilson Elementary,Cypress Elementary,Pleasant Elementary,Heritage Elementary"
Springville Union Elementary,Springville,Tulare County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,26%,39%,2%,24,23,0,0,1,23,23,23,23,23,100%,1,"36.172777,-118.492087",637770,Springville Elementary
Central Union Elementary,N.A.S. Lemoore,Kings County,,96%,1%,0%,2%,3%,3%,3%,4%,3%,18%,34%,15%,283,272,4,1,6,275,275,274,273,275,100%,4,"36.1791,-119.844123",607980,"Akers Elementary,Central Elementary,R. J. Neutra,Stratford Elementary"
Greenfield Union Elementary,Greenfield,Monterey County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,36%,76%,16%,394,394,0,0,0,394,394,394,394,394,100%,3,"36.184338,-121.343777",616080,"Mary Chapa Literacy And Technology Academy,Oak Avenue Elementary,Cesar Chavez Elementary"
Coalinga-Huron Unified,Huron,Fresno County,,98%,1%,0%,0%,1%,1%,1%,0%,0%,43%,78%,27%,403,396,6,0,1,400,399,399,401,402,100%,4,"36.197231,-120.363591",609120,"Huron Elementary,General Shafter Elementary,Henry F. Bishop Elementary,Annie E. Cheney Kindergarten"
Lindsay Unified,Lindsay,Tulare County,,98%,2%,0%,0%,2%,1%,2%,0%,0%,53%,80%,31%,359,352,7,0,0,352,356,353,359,359,100%,6,"36.208206,-119.091832",621870,"Roosevelt Elementary,Kennedy Elementary,Reagan Elementary,Jefferson Elementary,Washington Elementary,Lincoln Elementary"
Sundale Union Elementary,Tulare,Tulare County,,94%,1%,0%,4%,6%,4%,6%,6%,4%,34%,38%,6%,90,85,1,0,4,85,86,85,85,86,100%,1,"36.218006,-119.249786",638340,Sundale Elementary
Oak Valley Union Elementary,Tulare,Tulare County,,90%,8%,0%,2%,5%,8%,5%,2%,2%,35%,73%,15%,63,57,5,0,1,60,58,60,62,62,100%,1,"36.232647,-119.411875",627900,Oak Valley Elementary
Lakeside Union Elementary,Vista,San Diego County,,89%,6%,0%,5%,9%,8%,10%,7%,7%,41%,44%,19%,735,653,44,1,37,668,678,663,680,684,100%,8,"36.232859,-119.609233",620760,"National University Academy,Lakeside Elementary,Lakeside Farms Elementary,Lakeview Elementary,Lindo Park Elementary,Winter Gardens Elementary,Lemon Crest Elementary,Barona Indian Charter"
Armona Union Elementary,Simi Valley,Kings County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,31%,67%,14%,143,137,0,0,6,137,137,137,137,137,100%,2,"36.235521,-119.704942",603180,"California Virtual Academy @ Kings,Armona Elementary"
King City Union,King City,Monterey County,,99%,0%,0%,1%,1%,1%,1%,1%,1%,23%,85%,15%,345,341,1,0,3,341,342,342,342,342,100%,3,"36.242028,-121.122686",619680,"King City Arts Magnet,Santa Lucia Elementary,Del Rey Elementary"
Exeter Unified,Exeter,Tulare County,,99%,1%,0%,0%,1%,0%,0%,0%,0%,,61%,,227,225,2,0,0,225,227,227,226,227,100%,2,"36.277799,-119.024682",601423,"Lincoln Elementary,Rocky Hill Elementary"
Lone Pine Unified,Lone Pine,Inyo County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,21%,62%,12%,24,24,0,0,0,24,24,24,24,24,100%,1,"36.292726,-117.865352",622440,Lo-Inyo Elementary
Farmersville Unified,Farmersville,Tulare County,,98%,2%,0%,0%,2%,1%,1%,1%,0%,55%,86%,32%,171,167,4,0,0,168,169,169,170,171,100%,1,"36.300119,-119.201517",600035,J. E. Hester Elementary
Lemoore Union Elementary,Lemoore,Kings County,,98%,1%,0%,2%,2%,2%,2%,2%,2%,23%,59%,13%,396,388,2,0,6,388,389,389,389,390,100%,4,"36.319674,-119.791998",621360,"Meadow Lane Elementary,P. W. Engvall Elementary,Lemoore Elementary,Cinnamon Elementary"
Kit Carson Union Elementary,Hanford,Kings County,,96%,4%,0%,0%,2%,2%,4%,0%,0%,27%,65%,6%,49,47,2,0,0,48,48,47,49,49,100%,1,"36.321793,-119.532857",619890,Kit Carson Elementary
Carmel Unified,Big Sur,Monterey County,,66%,23%,0%,11%,18%,16%,26%,19%,12%,15%,12%,4%,175,115,40,0,20,144,147,130,142,154,100%,3,"36.324454,-121.665781",607530,"Captain Cooper Elementary,Carmel River Elementary,Tularcitos Elementary"
Tulare County Office of Education,Visalia,Tulare County,,79%,4%,0%,16%,21%,21%,21%,19%,19%,,39%,,135,107,6,0,22,107,107,107,109,109,100%,3,"36.328171,-119.320309",691045,"Valley Life Charter,Special Education,Eleanor Roosevelt Community Learning Center"
Kings County Office of Education,Hanford,Kings County,,95%,0%,0%,5%,5%,5%,5%,5%,5%,,53%,,19,18,0,0,1,18,18,18,18,18,100%,1,"36.328444,-119.66349",691013,Kings County Special Education
Hanford Elementary,Hanford,Kings County,,98%,2%,0%,1%,2%,2%,1%,1%,1%,30%,72%,17%,762,743,15,0,4,745,749,752,752,754,100%,9,"36.330818,-119.650523",616470,"Hamilton Elementary,Jefferson Elementary,Lee Richmond Elementary,Lincoln Elementary,Monroe Elementary,Roosevelt Elementary,George Washington Elementary,Martin Luther King Jr. Elementary,Joseph M. Simas"
Island Union Elementary,Lemoore,Kings County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,29%,32%,10%,42,42,0,0,0,42,42,42,42,42,100%,1,"36.347775,-119.882304",618510,Island Elementary
Sequoia Union Elementary,Lemon Cove,Tulare County,,,,,,,,,,,33%,36%,16%,,,,,,,,,,,0%,1,"36.358061,-119.052209",636360,Sequoia Elementary
Visalia Unified,Visalia,Tulare County,,95%,2%,0%,3%,4%,4%,4%,4%,3%,31%,64%,14%,2223,2122,34,3,64,2131,2137,2134,2142,2150,100%,26,"36.368519,-119.31498",641160,"Oak Grove Elementary,Four Creeks Elementary,Cottonwood Creek Elementary,Manuel F. Hernandez,Sycamore Valley Academy,Shannon Ranch Elementary,Conyer Elementary,Crowley Elementary,Elbow Creek Elementary,Fairview Elementary,Goshen Elementary,Highland Elementary,Houston Elementary,Ivanhoe Elementary,Mineral King Elementary,Mountain View Elementary,Royal Oaks Elementary,Crestwood Elementary,Annie R. Mitchell,Veva Blunt Elementary,Washington Elementary,Willow Glen Elementary,Linwood Elementary,Golden Oak Elementary,Pinkham Elementary,Hurley Elementary"
Westside Elementary,Five Points,Fresno County,,87%,13%,0%,0%,13%,13%,7%,0%,0%,43%,82%,35%,30,26,4,0,0,26,26,28,30,30,100%,1,"36.378069,-120.22061",642210,Westside Elementary
Mission Union Elementary,Soledad,Monterey County,,89%,11%,0%,0%,11%,6%,0%,0%,0%,23%,9%,10%,18,16,2,0,0,16,17,18,18,18,100%,1,"36.382886,-121.412368",625110,Mission Elementary
Soledad Unified,Soledad,Monterey County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,29%,88%,17%,416,414,0,0,2,414,414,414,414,414,100%,5,"36.386077,-121.324027",637050,"Frank Ledesma Elementary,Jack Franscioni Elementary,San Vicente Elementary,Gabilan Elementary,Rose Ferrero Elementary"
Kings River-Hardwick Union Elementary,Hanford,Kings County,,99%,0%,0%,1%,1%,1%,1%,1%,1%,17%,25%,2%,98,97,0,0,1,97,97,97,97,97,100%,1,"36.40249,-119.619403",619770,Kings River-Hardwick Elementary
Riverdale Joint Unified,Riverdale,Fresno County,,93%,6%,0%,1%,7%,6%,5%,1%,1%,33%,84%,25%,132,123,8,0,1,123,124,125,131,131,100%,1,"36.40682,-119.919165",600040,Fipps Primary
Three Rivers Union Elementary,Three Rivers,Tulare County,,69%,25%,0%,6%,19%,25%,25%,19%,19%,17%,32%,5%,16,11,4,0,1,13,12,12,13,13,100%,1,"36.436989,-118.671532",639210,Three Rivers Elementary
Traver Joint Elementary,Traver,Tulare County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,51%,100%,29%,29,29,0,0,0,29,29,29,29,29,100%,1,"36.441634,-119.476977",639600,Traver Elementary
Burrel Union Elementary,Riverdale,Fresno County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,30%,78%,29%,19,19,0,0,0,19,19,19,19,19,100%,1,"36.458521,-120.026028",606540,Burrel Elementary
Laton Joint Unified,Laton,Fresno County,,96%,4%,0%,0%,4%,3%,4%,0%,0%,27%,78%,15%,75,72,3,0,0,72,73,72,75,75,100%,1,"36.459569,-119.721768",621150,Laton Elementary
Stone Corral Elementary,Visalia,Tulare County,,95%,5%,0%,0%,5%,0%,0%,0%,0%,47%,100%,17%,20,19,1,0,0,19,20,20,20,20,100%,1,"36.478593,-119.196925",638040,Stone Corral Elementary
Woodlake Unified,Woodlake,Tulare County,,99%,1%,0%,0%,1%,1%,1%,1%,0%,,84%,,208,205,2,0,1,206,206,206,206,207,100%,1,"36.482938,-119.044746",601418,Francis J. White Learning Center
Kingsburg Elementary Charter,Kingsburg,Fresno County,,95%,1%,0%,3%,4%,3%,3%,4%,3%,24%,44%,14%,306,292,4,0,10,294,296,296,294,296,100%,2,"36.495002,-119.587508",619800,"Washington Elementary,Kingsburg Community Charter Extension"
Kings River Union Elementary,Kingsburg,Tulare County,,98%,0%,0%,2%,2%,2%,2%,2%,2%,51%,89%,31%,47,46,0,0,1,46,46,46,46,46,100%,1,"36.501124,-119.471305",619740,Kings River Elementary
