Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"FOSTER, Mr Albert C.",Victim,Not Disembarked,England,37,1875,Crew,Male,Engineering Crew,Belfast,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/albert-foster.html
"KENZLER, Mr August",Victim,Not Disembarked,England,43,1868,Crew,Male,Engineering Crew,Belfast,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/augustus-kenzler.html
"KIERAN, Mr Edgar Michael",Victim,Not Disembarked,England,34,1878,Crew,Male,Victualling Crew,Southampton,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/michael-kieran.html
"MORGAN (BIRD), Mr Charles Frederick",Victim,Not Disembarked,England,42,1870,Crew,Male,Victualling Crew,Southampton,Storekeeper,Storekeeper (1st Class),,,http://www.encyclopedia-titanica.org/titanic-victim/charles-frederick-morgan-bird.html
"NEWMAN, Mr Charles Thomas",Victim,Not Disembarked,England,33,1879,Crew,Male,Engineering Crew,Southampton,Storekeeper,Assistant Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/charles-thomas-newman.html
"PARSONS, Mr Edward",Victim,Not Disembarked,England,37,1874,Crew,Male,Victualling Crew,Southampton,Storekeeper,Chief Storekeeper (1st Class),,,http://www.encyclopedia-titanica.org/titanic-victim/edward-parsons.html
"PHILLIPS, Mr Walter John",Victim,Not Disembarked,England,35,1877,Crew,Male,Restaurant Staff,Southampton,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/walter-john-phillips.html
"RICKS, Mr Cyril Gordon",Victim,Not Disembarked,England,23,1890,Crew,Male,Victualling Crew,Southampton,Storekeeper,Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/cyril-ricks.html
"ROGERS, Mr Edward James William",Victim,Not Disembarked,England,31,1880,Crew,Male,Victualling Crew,Southampton,Storekeeper,Assistant Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/edward-james-william-rogers.html
"RUDD, Mr Henry",Victim,Not Disembarked,England,23,1888,Crew,Male,Engineering Crew,Southampton,Storekeeper,Engineers' storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/henry-rudd.html
"THOMPSON, Mr Herbert Henry",Victim,Not Disembarked,England,25,1887,Crew,Male,Victualling Crew,Belfast,Storekeeper,2nd (Assistant) Storekeeper,,,http://www.encyclopedia-titanica.org/titanic-victim/herbert-henry-thompson.html
"WILLIAMS, Mr Arthur John",Victim,Not Disembarked,England,42,1870,Crew,Male,Victualling Crew,Southampton,Storekeeper,Storekeeper (1st Class),,,http://www.encyclopedia-titanica.org/titanic-victim/arthur-williams.html
"O'LOUGHLIN, Dr William Francis Norman",Victim,Not Disembarked,England,62,1849,Crew,Male,Deck Crew,Belfast,Surgeon,Surgeon,,,http://www.encyclopedia-titanica.org/titanic-victim/william-francis-norman-oloughlin.html
"SIMPSON, Dr John Edward",Victim,Not Disembarked,Northern Ireland,37,1875,Crew,Male,Deck Crew,Southampton,Surgeon,Assistant Surgeon,,,http://www.encyclopedia-titanica.org/titanic-victim/john-edward-simpson.html
"BRIDE, Mr Harold Sydney",Survivor,Not Disembarked,England,22,1890,Crew,Male,Victualling Crew,Belfast,Telegraphist,Assistant Telegraphist,,,http://www.encyclopedia-titanica.org/titanic-survivor/harold-sydney-bride.html
"PHILLIPS, Mr John George",Victim,Not Disembarked,England,25,1887,Crew,Male,Victualling Crew,Belfast,Telegraphist,Telegraphist,,,http://www.encyclopedia-titanica.org/titanic-victim/john-george-phillips.html
"JAMES, Mr Thomas [2]",,Southampton,,36,1876,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/thomas-james-2.html
"STEWART, Mr John [2]",,Southampton,,30,1882,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-stewart-2.html
"AULD, Mr James",,Southampton,,32,1880,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/james-auld.html
"BAILEY, Mr William",,Southampton,,30,1882,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-bailey.html
"BARRY, Mr James",,Southampton,,31,1881,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/james-barry.html
"BARTLEY, Mr Robert",,Southampton,,32,1880,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/robert-bartley.html
"BEATTIE, Mr Francis",,Southampton,,36,1876,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/francis-beattie.html
"BENSON, Mr William",,Southampton,,25,1887,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-benson.html
"BRYAN, Mr John",,Southampton,,22,1890,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-bryan.html
"CARSON, Mr James",,Southampton,,36,1876,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/james-carson.html
"CASSIDY, Mr William J.",,Southampton,,,,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-cassidy.html
"COSGROVE, Mr John",,Southampton,,23,1889,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-cosgrove.html
"COSGROVE, Mr William",,Southampton,,26,1886,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-cosgrove.html
"CROSSLEY, Mr John",,Southampton,,34,1878,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-crossley.html
"ELLISON, Mr Joseph",,Southampton,,29,1883,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/joseph-ellison.html
"FLACK, Mr John",,Southampton,,30,1882,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/john-flack.html
"FLEMMING, Mr William",,Southampton,,32,1880,Crew,Male,Engineering Crew,Belfast,Trimmer,Trimmer,,,http://www.encyclopedia-titanica.org/titanic-biography/william-flemming.html
