Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"MOLSON, Mr Harry Markland",Victim,Not Disembarked,Canada,55,1856,Passenger,Male,1st Class,Southampton,Businessman,Businessman,113787,£30 10s,http://www.encyclopedia-titanica.org/titanic-victim/harry-molson.html
"STäHELIN-MAEGLIN, Dr Max",Survivor,Not Disembarked,Switzerland,32,1880,Passenger,Male,1st Class,Southampton,Lawyer,Lawyer,13214,£30 10s,http://www.encyclopedia-titanica.org/titanic-survivor/max-stahelin-maeglin.html
"DANIEL, Mr Robert Williams",Survivor,Not Disembarked,Canada,27,1884,Passenger,Male,1st Class,Southampton,,,113804,£30 10s,http://www.encyclopedia-titanica.org/titanic-survivor/robert-williams-daniel.html
"PEUCHEN, Major Arthur Godfrey",Survivor,Not Disembarked,Canada,52,1859,Passenger,Male,1st Class,Southampton,,,113786,£30 10s,http://www.encyclopedia-titanica.org/titanic-survivor/arthur-godfrey-peuchen.html
"BRADY, Mr John Bertram",Victim,Not Disembarked,United States,41,1870,Passenger,Male,1st Class,Southampton,,,113054,£30 10s,http://www.encyclopedia-titanica.org/titanic-victim/john-bertram-brady.html
"HOYT, Mr William Fisher",Victim,Not Disembarked,United States,42,1870,Passenger,Male,1st Class,Cherbourg,Businessman,Businessman,17600,£30 13s 11d,http://www.encyclopedia-titanica.org/titanic-victim/william-fisher-hoyt.html
"SMITH, Mr James Clinch",Victim,Not Disembarked,France,56,1856,Passenger,Male,1st Class,Cherbourg,Military,Military,17764,£30 13s 11d,http://www.encyclopedia-titanica.org/titanic-victim/james-clinch-smith.html
"NASSER, Mrs Adele",Survivor,Not Disembarked,Lebanon,14,1898,Passenger,Female,2nd Class,Cherbourg,,,237736,£30 1s 5d,http://www.encyclopedia-titanica.org/titanic-survivor/adele-nasser.html
"NASSER, Mr Nicholas",Victim,Not Disembarked,United States,28,1884,Passenger,Male,2nd Class,Cherbourg,,,237736,£30 1s 5d,http://www.encyclopedia-titanica.org/titanic-victim/nicholas-nasser.html
"BLANK, Mr Henry",Survivor,Not Disembarked,United States,39,1872,Passenger,Male,1st Class,Cherbourg,Jeweller,Jeweller,112277,£31,http://www.encyclopedia-titanica.org/titanic-survivor/henry-blank.html
"SERREPLAN, Miss Auguste",Survivor,Not Disembarked,,30,1882,Passenger,Female,1st Class,Southampton,Personal Maid,Personal Maid,113798,£31,http://www.encyclopedia-titanica.org/titanic-survivor/auguste-serreplan.html
"CAIRNS, Mr Alexander Milne",Victim,Not Disembarked,,28,1883,Passenger,Male,1st Class,Southampton,Servant,Servant,113798,£31,http://www.encyclopedia-titanica.org/titanic-victim/alexander-cairns.html
"DENBUOY, Mr Albert (""Herbert"")",Victim,Not Disembarked,Channel Islands,25,1887,Passenger,Male,2nd Class,Southampton,,,31029,£31 10s,http://www.encyclopedia-titanica.org/titanic-victim/herbert-denbuoy.html
"JEFFERYS, Mr Clifford Thomas",Victim,Not Disembarked,Channel Islands,24,1888,Passenger,Male,2nd Class,Southampton,,,31029,£31 10s,http://www.encyclopedia-titanica.org/titanic-victim/clifford-thomas-jefferys.html
"JEFFERYS, Mr Ernest Wilfred",Victim,Not Disembarked,Channel Islands,22,1890,Passenger,Male,2nd Class,Southampton,,,31029,£31 10s,http://www.encyclopedia-titanica.org/titanic-victim/ernest-wilfred-jefferys.html
"EVANS, Miss Edith Corse",Victim,Not Disembarked,United States,36,1875,Passenger,Female,1st Class,Cherbourg,,,17531,£31 13s 7d,http://www.encyclopedia-titanica.org/titanic-victim/edith-corse-evans.html
"FLEGENHEIM, Mrs Antoinette",Survivor,Not Disembarked,United States,48,1863,Passenger,Female,1st Class,Cherbourg,,,17598,£31 13s 8d,http://www.encyclopedia-titanica.org/titanic-survivor/antoinette-flegenheim.html
"ANDERSSON, Mr Anders Johan",Victim,Not Disembarked,Sweden,39,1873,Passenger,Male,3rd Class,Southampton,General Labourer,General Labourer,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/anders-andersson.html
"ANDERSSON, Master Sigvard Harald Elias",Victim,Not Disembarked,Sweden,4,1907,Passenger,Male,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/sigvard-harald-elias-andersson.html
"ANDERSSON, Miss Ebba Iris Alfrida",Victim,Not Disembarked,Sweden,6,1905,Passenger,Female,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/ebba-iris-alfrida-andersson.html
"ANDERSSON, Miss Ellis Anna Maria",Victim,Not Disembarked,Sweden,2,1910,Passenger,Female,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/ellis-anna-maria-andersson.html
"ANDERSSON, Miss Ingeborg Constanzia",Victim,Not Disembarked,Sweden,9,1902,Passenger,Female,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/ingeborg-constanzia-andersson.html
"ANDERSSON, Miss Sigrid Elisabeth",Victim,Not Disembarked,Sweden,11,1900,Passenger,Female,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/sigrid-elisabeth-andersson.html
"ANDERSSON, Mrs Alfrida Konstantia Brogren",Victim,Not Disembarked,Sweden,39,1872,Passenger,Female,3rd Class,Southampton,,,347082,£31 5s 6d,http://www.encyclopedia-titanica.org/titanic-victim/alfrida-konstantia-brogren-andersson.html
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Victim,Not Disembarked,Sweden,40,1871,Passenger,Male,3rd Class,Southampton,General Labourer,General Labourer,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-victim/carl-asplund.html
"ASPLUND, Master Edvin Rojj Felix",Survivor,Not Disembarked,Sweden,3,1909,Passenger,Male,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/edvin-rojj-felix-asplund.html
"ASPLUND, Miss Lillian Gertrud",Survivor,Not Disembarked,Sweden,5,1906,Passenger,Female,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/lillian-gertrud-asplund.html
"ASPLUND, Mrs Selma Augusta Emilia",Survivor,Not Disembarked,Sweden,38,1873,Passenger,Female,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-survivor/selma-augusta-emilia-asplund.html
"ASPLUND, Master Carl Edgar",Victim,Not Disembarked,Sweden,5,1906,Passenger,Male,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-victim/carl-edgar-asplund.html
"ASPLUND, Master Clarence Gustaf Hugo",Victim,Not Disembarked,Sweden,9,1902,Passenger,Male,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-victim/clarence-gustaf-hugo-asplund.html
"ASPLUND, Master Filip Oscar",Victim,Not Disembarked,Sweden,13,1898,Passenger,Male,3rd Class,Southampton,,,347077,£31 7s 9d,http://www.encyclopedia-titanica.org/titanic-victim/filip-oscar-asplund.html
"DREW, Master Marshall Brines",Survivor,Not Disembarked,United States,8,1904,Passenger,Male,2nd Class,Southampton,,,28220,£32 10s,http://www.encyclopedia-titanica.org/titanic-survivor/marshall-brines-drew.html
"DREW, Mrs Lulu Thorne",Survivor,Not Disembarked,United States,34,1878,Passenger,Female,2nd Class,Southampton,,,28220,£32 10s,http://www.encyclopedia-titanica.org/titanic-survivor/lulu-thorne-drew.html
"DREW, Mr James Vivian",Victim,Not Disembarked,United States,42,1869,Passenger,Male,2nd Class,Southampton,,,28220,£32 10s,http://www.encyclopedia-titanica.org/titanic-victim/james-vivian-drew.html
"SUTTON, Mr Frederick",Victim,Not Disembarked,United States,61,1850,Passenger,Male,1st Class,Southampton,"Property Developer, Real Estate",Property Developer / Real Estate,36963,£32 6s 5d,http://www.encyclopedia-titanica.org/titanic-victim/frederick-sutton.html
"HARPER, Rev. John",Victim,Not Disembarked,England,39,1872,Passenger,Male,2nd Class,Southampton,"Priest, Minister",Priest / Minister,248727,£33,http://www.encyclopedia-titanica.org/titanic-victim/john-harper.html
"HARPER, Miss Annie Jessie",Survivor,Not Disembarked,England,6,1906,Passenger,Female,2nd Class,Southampton,,,248727,£33,http://www.encyclopedia-titanica.org/titanic-survivor/nina-harper.html
"LEITCH, Miss Jessie Wills",Survivor,Not Disembarked,England,31,1881,Passenger,Female,2nd Class,Southampton,,,248727,£33,http://www.encyclopedia-titanica.org/titanic-survivor/jessie-leitch.html
"VAN DER HOEF, Mr Wyckoff",Victim,Not Disembarked,United States,61,1850,Passenger,Male,1st Class,Belfast,Businessman,Businessman,111240,£33 10s,http://www.encyclopedia-titanica.org/titanic-victim/wyckoff-van-der-hoef.html
"GOLDSCHMIDT, Mr George B.",Victim,Not Disembarked,United States,71,1840,Passenger,Male,1st Class,Cherbourg,,,17754,£34 13s 1d,http://www.encyclopedia-titanica.org/titanic-victim/george-goldschmidt.html
"WALKER, Mr William Anderson",Victim,Not Disembarked,United States,48,1863,Passenger,Male,1st Class,Southampton,,,36967,£34 5d,http://www.encyclopedia-titanica.org/titanic-victim/william-anderson-walker.html
"FORD, Mr Edward Watson",Victim,Not Disembarked,England,18,1894,Passenger,Male,3rd Class,Southampton,Blacksmith,Blacksmith,6608,£34 7s 6d,http://www.encyclopedia-titanica.org/titanic-victim/edward-watson-ford.html
"FORD, Mrs Margaret Ann Watson",Victim,Not Disembarked,England,48,1864,Passenger,Female,3rd Class,Southampton,Farm Labourer,Farmer,6608,£34 7s 6d,http://www.encyclopedia-titanica.org/titanic-victim/margaret-ann-watson-ford.html
"FORD, Mr William Neal Thomas",Victim,Not Disembarked,England,16,1896,Passenger,Male,3rd Class,Southampton,Messenger,Messenger,6608,£34 7s 6d,http://www.encyclopedia-titanica.org/titanic-victim/neal-thomas-ford.html
"FORD, Miss Dollina Margaret",Victim,Not Disembarked,England,20,1891,Passenger,Female,3rd Class,Southampton,Servant,Servant,6608,£34 7s 6d,http://www.encyclopedia-titanica.org/titanic-victim/dollina-margaret-ford.html
"FORD, Miss Robina Maggie",Victim,Not Disembarked,England,7,1904,Passenger,Female,3rd Class,Southampton,,,6608,£34 7s 6d,http://www.encyclopedia-titanica.org/titanic-victim/robina-maggie-ford.html
"WILLIAMS, Mr Fletcher Fellowes Lambert",Victim,Not Disembarked,England,44,1868,Passenger,Male,1st Class,Southampton,Businessman,Businessman,113510,£35,http://www.encyclopedia-titanica.org/titanic-victim/fletcher-lambert-williams.html
"SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons",Survivor,Not Disembarked,Switzerland,56,1855,Passenger,Male,1st Class,Southampton,Banker,Banker,13213,£35 10s,http://www.encyclopedia-titanica.org/titanic-survivor/alfons-simonius-blumer.html
"WOOLNER, Mr Hugh",Survivor,Not Disembarked,England,45,1866,Passenger,Male,1st Class,Southampton,Businessman,Businessman,19947,£35 10s,http://www.encyclopedia-titanica.org/titanic-survivor/hugh-woolner.html
"SLOPER, Mr William Thompson",Survivor,Not Disembarked,United States,28,1883,Passenger,Male,1st Class,Southampton,Stockbroker,Stockbroker,113788,£35 10s,http://www.encyclopedia-titanica.org/titanic-survivor/william-thompson-sloper.html
"BLACKWELL, Mr Stephen Weart",Victim,Not Disembarked,United States,45,1866,Passenger,Male,1st Class,Southampton,,,113784,£35 10s,http://www.encyclopedia-titanica.org/titanic-victim/stephen-weart-blackwell.html
"NICHOLLS, Mr Joseph Charles",Victim,Not Disembarked,England,19,1892,Passenger,Male,2nd Class,Southampton,Miner,Miner,33112,£36 15s,http://www.encyclopedia-titanica.org/titanic-victim/joseph-charles-nicholls.html
"DAVIES, Master John Morgan jr",Survivor,Not Disembarked,England,8,1903,Passenger,Male,2nd Class,Southampton,,,33112,£36 15s,http://www.encyclopedia-titanica.org/titanic-survivor/john-morgan-davies.html
"DAVIES, Mrs Elizabeth Agnes Mary",Survivor,Not Disembarked,England,48,1863,Passenger,Female,2nd Class,Southampton,,,33112,£36 15s,http://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-agnes-mary-davies.html
"SINCOCK, Miss Maude",Survivor,Not Disembarked,England,20,1891,Passenger,Female,2nd Class,Southampton,,,33112,£36 15s,http://www.encyclopedia-titanica.org/titanic-survivor/maude-sincock.html
"MALLET, Mr Albert Denis Pierre",Victim,Not Disembarked,France,45,1866,Passenger,Male,2nd Class,Cherbourg,Merchant,Merchant,2079,£37 1d,http://www.encyclopedia-titanica.org/titanic-victim/albert-mallet.html
"MALLET, Master André Clement",Survivor,Not Disembarked,France,1,1910,Passenger,Male,2nd Class,Cherbourg,,,2079,£37 1d,http://www.encyclopedia-titanica.org/titanic-survivor/andre-clement-mallet.html
"MALLET, Mrs Antonine Marie",Survivor,Not Disembarked,France,24,1887,Passenger,Female,2nd Class,Cherbourg,,,2079,£37 1d,http://www.encyclopedia-titanica.org/titanic-survivor/antonine-marie-mallet.html
"GEE, Mr Arthur H.",Victim,Not Disembarked,England,47,1865,Passenger,Male,1st Class,Southampton,,,111320,£38 10s,http://www.encyclopedia-titanica.org/titanic-victim/arthur-gee.html
"BROWN, Mr Thomas William Solomon",Victim,Not Disembarked,South Africa,60,1852,Passenger,Male,2nd Class,Southampton,Hotelier,Hotelier,29750,£39,http://www.encyclopedia-titanica.org/titanic-victim/thomas-william-solomon-brown.html
"BROWN, Miss Edith Eileen",Survivor,Not Disembarked,South Africa,15,1896,Passenger,Female,2nd Class,Southampton,Scholar,Scholar,29750,£39,http://www.encyclopedia-titanica.org/titanic-survivor/edith-haisman.html
"BECKER, Master Richard F.",Survivor,Not Disembarked,India,1,1910,Passenger,Male,2nd Class,Southampton,,,230136,£39,http://www.encyclopedia-titanica.org/titanic-survivor/richard-becker.html
"BECKER, Miss Marion Louise",Survivor,Not Disembarked,India,4,1907,Passenger,Female,2nd Class,Southampton,,,230136,£39,http://www.encyclopedia-titanica.org/titanic-survivor/marion-louise-becker.html
"BECKER, Miss Ruth Elizabeth",Survivor,Not Disembarked,India,12,1899,Passenger,Female,2nd Class,Southampton,,,230136,£39,http://www.encyclopedia-titanica.org/titanic-survivor/ruth-elizabeth-becker.html
"BECKER, Mrs Nellie E.",Survivor,Not Disembarked,India,35,1876,Passenger,Female,2nd Class,Southampton,,,230136,£39,http://www.encyclopedia-titanica.org/titanic-survivor/nellie-becker.html
"BROWN, Mrs Elizabeth Catherine",Survivor,Not Disembarked,South Africa,40,1872,Passenger,Female,2nd Class,Southampton,,,29750,£39,http://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-catherine-brown.html
"RHEIMS, Mr George Alexander Lucien",Survivor,Not Disembarked,France,33,1879,Passenger,Male,1st Class,Cherbourg,Businessman,Businessman,17607,£39 12s,http://www.encyclopedia-titanica.org/titanic-survivor/george-rheims.html
"DUFF GORDON, Sir Cosmo Edmund",Survivor,Not Disembarked,England,49,1862,Passenger,Male,1st Class,Cherbourg,Landowner,Landowner,11755,£39 12s,http://www.encyclopedia-titanica.org/titanic-survivor/sir-cosmo-duff-gordon.html
"BREWE, Dr Arthur Jackson",Victim,Not Disembarked,United States,45,1866,Passenger,Male,1st Class,Cherbourg,,,112379,£39 12s,http://www.encyclopedia-titanica.org/titanic-victim/arthur-jackson-brewe.html
"PANULA, Master Jaako Arnold",Victim,Not Disembarked,Finland,14,1897,Passenger,Male,3rd Class,Southampton,General Labourer,General Labourer,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/jaako-arnold-panula.html
"PANULA, Mr Ernesti Arvid",Victim,Not Disembarked,Finland,16,1895,Passenger,Male,3rd Class,Southampton,General Labourer,General Labourer,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/ernesti-arvid-panula.html
"PANULA, Master Eino Viljam",Victim,Not Disembarked,Finland,1,1911,Passenger,Male,3rd Class,Southampton,,,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/eino-viljam-panula.html
"PANULA, Master Juha Niilo",Victim,Not Disembarked,Finland,7,1904,Passenger,Male,3rd Class,Southampton,,,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/juha-niilo-panula.html
"PANULA, Master Urho Abraham",Victim,Not Disembarked,Finland,2,1909,Passenger,Male,3rd Class,Southampton,,,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/urho-abraham-panula.html
"PANULA, Mrs Maija Emelia Abrahamintytar",Victim,Not Disembarked,Finland,41,1870,Passenger,Female,3rd Class,Southampton,,,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/maija-emelia-abrahamintytar-panula.html
"RIIHIVUORI, Miss Susanna Juhantytär",Victim,Not Disembarked,Finland,22,1889,Passenger,Female,3rd Class,Southampton,,,3101295,£39 13s 9d,http://www.encyclopedia-titanica.org/titanic-victim/susanna-juhantytar-sanni-riihivuori.html
"LINES, Miss Mary Conover",Survivor,Not Disembarked,France,16,1895,Passenger,Female,1st Class,Cherbourg,,,17592,£39 8s,http://www.encyclopedia-titanica.org/titanic-survivor/mary-conover-lines.html
"LINES, Mrs Elizabeth Lindsey",Survivor,Not Disembarked,France,50,1861,Passenger,Female,1st Class,Cherbourg,,,17592,£39 8s,http://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-lines.html
"NICHOLS, Mr E.",,Queenstown,,,,Passenger,Male,1st Class,Southampton,,,103,£4,http://www.encyclopedia-titanica.org/titanic-biography/e-nichols.html
"SEMAN, Master Betros",Victim,Not Disembarked,Lebanon,10,1902,Passenger,Male,3rd Class,Cherbourg,,,2622,£4 3d,http://www.encyclopedia-titanica.org/titanic-victim/betros-seman.html
"ROSS, Mr John Hugo",Victim,Not Disembarked,Canada,36,1875,Passenger,Male,1st Class,Southampton,,,13049,£40 2s 6d,http://www.encyclopedia-titanica.org/titanic-victim/john-hugo-ross.html
"LAROCHE, Mr Joseph Philippe Lemercier",Victim,Not Disembarked,France,25,1886,Passenger,Male,2nd Class,Cherbourg,Engineer,Engineer,2123,£41 11s 7d,http://www.encyclopedia-titanica.org/titanic-victim/joseph-laroche.html
"LAROCHE, Miss Louise",Survivor,Not Disembarked,France,1,1910,Passenger,Female,2nd Class,Cherbourg,,,2123,£41 11s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/louise-laroche.html
"LAROCHE, Miss Simonne Marie Anne Andrée",Survivor,Not Disembarked,France,3,1909,Passenger,Female,2nd Class,Cherbourg,,,2123,£41 11s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/simonne-laroche.html
"LAROCHE, Mrs Juliette Marie Louise",Survivor,Not Disembarked,France,22,1889,Passenger,Female,2nd Class,Cherbourg,,,2123,£41 11s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/juliette-laroche.html
"HEAD, Mr Christopher",Victim,Not Disembarked,,42,1869,Passenger,Male,1st Class,Southampton,Politician,Politician,113038,£42 10s,http://www.encyclopedia-titanica.org/titanic-victim/christopher-head.html
"MOORE, Mr Clarence Bloomfield",Victim,Not Disembarked,United States,47,1865,Passenger,Male,1st Class,Southampton,Businessman,Businessman,113796,£42 8s,http://www.encyclopedia-titanica.org/titanic-victim/clarence-bloomfield-moore.html
"HARRINGTON, Mr Charles Henry",Victim,Not Disembarked,,37,1875,Passenger,Male,1st Class,Southampton,Servant,Servant,113796,£42 8s,http://www.encyclopedia-titanica.org/titanic-victim/charles-harrington.html
"LORING, Mr Joseph Holland",Victim,Not Disembarked,United States,30,1882,Passenger,Male,1st Class,Southampton,Stockbroker,Stockbroker,113801,£45 10s,http://www.encyclopedia-titanica.org/titanic-victim/joseph-holland-loring.html
"GOODWIN, Mr Frederick Joseph",Victim,Not Disembarked,England,42,1870,Passenger,Male,3rd Class,Southampton,Engineer,Engineer,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-joseph-goodwin.html
"GOODWIN, Mr Charles Edward",Victim,Not Disembarked,England,14,1898,Passenger,Male,3rd Class,Southampton,Scholar,Scholar,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/charles-edward-goodwin.html
"GOODWIN, Miss Lillian Amy",Victim,Not Disembarked,England,16,1896,Passenger,Female,3rd Class,Southampton,Servant,Servant,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/lillian-amy-goodwin.html
"GOODWIN, Master Harold Victor",Victim,Not Disembarked,England,9,1903,Passenger,Male,3rd Class,Southampton,,,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/harold-victor-goodwin.html
"GOODWIN, Master Sidney Leslie",Victim,Not Disembarked,England,1,1910,Passenger,Male,3rd Class,Southampton,,,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/sidney-leslie-goodwin.html
"GOODWIN, Master William Frederick",Victim,Not Disembarked,England,11,1901,Passenger,Male,3rd Class,Southampton,,,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/william-frederick-goodwin.html
"GOODWIN, Miss Jessie Allis",Victim,Not Disembarked,England,10,1902,Passenger,Female,3rd Class,Southampton,,,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/jessie-allis-goodwin.html
"GOODWIN, Mrs Augusta",Victim,Not Disembarked,England,43,1869,Passenger,Female,3rd Class,Southampton,,,2144,£46 18s,http://www.encyclopedia-titanica.org/titanic-victim/augusta-goodwin.html
"CARRAú-ESTEVES, Mr José Pedro",Victim,Not Disembarked,Uruguay,17,1894,Passenger,Male,1st Class,Southampton,,,113059,£47 2s,http://www.encyclopedia-titanica.org/titanic-victim/jose-pedro-carrau.html
"CARRAU, Mr Francisco Mauro Severiano",Victim,Not Disembarked,Uruguay,27,1884,Passenger,Male,1st Class,Southampton,,,113059,£47 2s,http://www.encyclopedia-titanica.org/titanic-victim/francisco-carrau.html
"FRöLICHER, Miss Hedwig Margaritha",Survivor,Not Disembarked,Switzerland,22,1889,Passenger,Female,1st Class,Cherbourg,,,13568,£49 10s,http://www.encyclopedia-titanica.org/titanic-survivor/hedwig-margaritha-frolicher.html
"ARTAGAVEYTIA, Mr Ramon",Victim,Not Disembarked,Argentina,71,1840,Passenger,Male,1st Class,Cherbourg,Businessman,Businessman,17609,£49 10s 1d,http://www.encyclopedia-titanica.org/titanic-victim/ramon-artagaveytia.html
"MAYNé, Mlle Berthe Antonine",Survivor,Not Disembarked,Belgium,24,1887,Passenger,Female,1st Class,Cherbourg,Singer,Singer,17482,£49 10s 1d,http://www.encyclopedia-titanica.org/titanic-survivor/bertha-mayne.html
"CARLSSON, Mr Frans Olof",Victim,Not Disembarked,United States,33,1878,Passenger,Male,1st Class,Southampton,,,695,£5,http://www.encyclopedia-titanica.org/titanic-victim/frans-olof-carlsson.html
"HIPKINS, Mr William Edward",Victim,Not Disembarked,England,55,1857,Passenger,Male,1st Class,Southampton,Manufacturer,Manufacturer,680,£50,http://www.encyclopedia-titanica.org/titanic-victim/william-edward-hipkins.html
"ROOD, Mr Hugh Roscoe",Victim,Not Disembarked,United States,38,1873,Passenger,Male,1st Class,Southampton,,,113767,£50,http://www.encyclopedia-titanica.org/titanic-victim/hugh-rood.html
"ROEBLING, Mr Washington Augustus II",Victim,Not Disembarked,United States,31,1881,Passenger,Male,1st Class,Southampton,Of Independent Means,Of Independent Means,17590,£50 9s 11d,http://www.encyclopedia-titanica.org/titanic-victim/washington-roebling.html
"BRANDEIS, Mr Emil",Victim,Not Disembarked,United States,48,1864,Passenger,Male,1st Class,Cherbourg,,,17591,£50 9s 11d,http://www.encyclopedia-titanica.org/titanic-victim/emil-brandeis.html
"HILLIARD, Mr Herbert Henry",Victim,Not Disembarked,United States,44,1867,Passenger,Male,1st Class,Southampton,Buyer,Buyer,17463,£51 17s 3d,http://www.encyclopedia-titanica.org/titanic-victim/herbert-henry-hilliard.html
"MCCARTHY, Mr Timothy J.",Victim,Not Disembarked,United States,54,1858,Passenger,Male,1st Class,Southampton,Buyer,Buyer,17463,£51 17s 3d,http://www.encyclopedia-titanica.org/titanic-victim/timothy-mccarthy.html
"KENYON, Mrs Marion",Survivor,Not Disembarked,United States,31,1880,Passenger,Female,1st Class,Southampton,,,17464,£51 17s 3d,http://www.encyclopedia-titanica.org/titanic-survivor/marion-kenyon.html
"KENYON, Mr Frederick R.",Victim,Not Disembarked,United States,41,1871,Passenger,Male,1st Class,Southampton,,,17464,£51 17s 3d,http://www.encyclopedia-titanica.org/titanic-victim/frederick-kenyon.html
"APPLETON, Mrs Charlotte",Survivor,Not Disembarked,United States,53,1858,Passenger,Female,1st Class,Southampton,,,11769,£51 9s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/charlotte-appleton.html
"BROWN, Mrs Caroline Lane",Survivor,Not Disembarked,United States,59,1852,Passenger,Female,1st Class,Southampton,,,11769,£51 9s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/caroline-lane-brown.html
"CARDEZA, Mr Thomas Drake Martinez",Survivor,Not Disembarked,United States,36,1875,Passenger,Male,1st Class,Cherbourg,Gentleman,Gentleman,17755,£512 6s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/thomas-cardeza.html
"WARD, Miss Annie Moore",Survivor,Not Disembarked,,35,1874,Passenger,Female,1st Class,Cherbourg,Personal Maid,Personal Maid,17755,£512 6s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/annie-moore-ward.html
"LESUEUR, Mr Gustave J.",Survivor,Not Disembarked,,35,1877,Passenger,Male,1st Class,Cherbourg,Servant,Servant,17755,£512 6s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/gustave-lesueur.html
"CARDEZA, Mrs Charlotte Wardle",Survivor,Not Disembarked,United States,58,1854,Passenger,Female,1st Class,Cherbourg,,,17755,£512 6s 7d,http://www.encyclopedia-titanica.org/titanic-survivor/charlotte-cardeza.html
"TAYLOR, Mr Elmer Zebley",Survivor,Not Disembarked,United States,48,1864,Passenger,Male,1st Class,Southampton,Manufacturer,Manufacturer,19996,£52,http://www.encyclopedia-titanica.org/titanic-survivor/elmer-zebley-taylor.html
"DAVIDSON, Mrs Orian",Survivor,Not Disembarked,Canada,27,1884,Passenger,Female,1st Class,Cherbourg,,,12750,£52,http://www.encyclopedia-titanica.org/titanic-survivor/orian-davidson.html
"HOLVERSON, Mrs Mary Aline",Survivor,Not Disembarked,United States,35,1876,Passenger,Female,1st Class,Southampton,,,113789,£52,http://www.encyclopedia-titanica.org/titanic-survivor/mary-aline-holverson.html
"TAYLOR, Mrs Juliet Cummins",Survivor,Not Disembarked,United States,49,1862,Passenger,Female,1st Class,Southampton,,,19996,£52,http://www.encyclopedia-titanica.org/titanic-survivor/juliet-cummins-taylor.html
"CLIFFORD, Mr George Quincy",Victim,Not Disembarked,United States,40,1871,Passenger,Male,1st Class,Southampton,,,110465,£52,http://www.encyclopedia-titanica.org/titanic-victim/george-quincy-clifford.html
"DAVIDSON, Mr Thornton",Victim,Not Disembarked,Canada,31,1880,Passenger,Male,1st Class,Cherbourg,,,12750,£52,http://www.encyclopedia-titanica.org/titanic-victim/thornton-davidson.html
"HOLVERSON, Mr Alexander Oskar",Victim,Not Disembarked,United States,42,1869,Passenger,Male,1st Class,Southampton,,,113789,£52,http://www.encyclopedia-titanica.org/titanic-victim/alexander-oskar-holverson.html
"PORTER, Mr Walter Chamberlain",Victim,Not Disembarked,United States,46,1865,Passenger,Male,1st Class,Southampton,,,110465,£52,http://www.encyclopedia-titanica.org/titanic-victim/walter-chamberlain-porter.html
"BECKWITH, Mr Richard Leonard",Survivor,Not Disembarked,United States,37,1874,Passenger,Male,1st Class,Southampton,,,11751,£52 11s 1d,http://www.encyclopedia-titanica.org/titanic-survivor/richard-leonard-beckwith.html
