Movie,Country,Year,Production Costs,Movie Profile,Image,Description
Empire of the Wolves,France,2005,"$37,120,000",http://en.wikipedia.org/wiki/Empire_of_the_Wolves,http://upload.wikimedia.org/wikipedia/en/2/29/EmpireoftheWolvesposter.jpg,"Empire of the Wolves (French: L'Empire des loups) is a 2005 moviedirected by Chris Nahon, written by Christian Clavier, Jean-Christophe Grangé, Chris Nahon and Franck Ollivier, and starring Jean Reno, Arly Jover, and Jocelyn Quivrin."
Enthiran,India,2010,"$54,000,000",http://en.wikipedia.org/wiki/Enthiran,http://upload.wikimedia.org/wikipedia/en/1/14/Endhiran_poster_July_2010.jpg,"Enthiran is a 2010 Indian Tamil science fiction techno thriller, co-written and directed by Shankar. The film features Rajinikanth in dual roles, as a scientist and an andro humanoid robot, alongside Aishwarya Rai while Danny Denzongpa, Santhanam, Karunas, Kalabhavan Mani, Devadarshini, and Cochin Haneefa play supporting roles. The film's story revolves around the scientist's struggle to control his creation, the android robot whose software was upgraded to give it the ability to comprehend and generate human emotions. The plan backfires as the robot falls in love with the scientist's fiancée and is further manipulated to bring destruction to the world when it lands in the hands of a rival scientist."
Fanfan La Tulipe,France,2003,"$33,600,000",http://en.wikipedia.org/wiki/Fanfan_la_Tulipe_(2003_film),http://upload.wikimedia.org/wikipedia/en/d/d8/Fanfan_la_tulipe2003.jpg,Fanfan la Tulipe is a 2003 Frenchcomedyadventure film directed by Gérard Krawczyk and starring Vincent Perez and Penélope Cruz. It was screened out of competition at the 2003 Cannes Film Festival. It is a remake of the 1952 film Fanfan la Tulipe.
Gantz & Gantz: Perfect Answer,Japan,2011,"$45,000,000",http://en.wikipedia.org/wiki/Gantz_(live_action_films),http://upload.wikimedia.org/wikipedia/en/9/9e/Gantz_movie_poster.jpg,"Gantz is a series of two Japanese live action films. The first was titled simply Gantz and the second titled Gantz: Perfect Answer. Both were based on the original manga series Gantz by Hiroya Oku, and were released in 2011."
Gervaise,France,1956,"$34,000,000",http://en.wikipedia.org/wiki/Gervaise,http://upload.wikimedia.org/wikipedia/en/c/cd/Gervaise_1956_film_poster.jpg,Gervaise is a 1956 French film directed by René Clément based on the novel L'Assommoir by Émile Zola. It depicts a working-class woman in the mid-nineteenth century (played by Maria Schell) trying to cope with the descent of her husband (played by François Périer) into alcoholism. The film was nominated for the Best Foreign Language Film at the 29th Academy Awards. Schell won the Volpi Cup for Best Actress at the 1956 Venice Film Festival for her performance.
Hero,China,2002,"$31,000,000",http://en.wikipedia.org/wiki/Hero_(2002_film),http://upload.wikimedia.org/wikipedia/en/0/08/Hero_poster.jpg,"Hero is a 2002 wuxia film directed by Zhang Yimou. Starring Jet Li as the nameless protagonist, the film is based on the story of Jing Kes assassination attempt on the King of Qin in 227 BC."
Iceman,"Hong Kong, China",2014,"$32,200,000",http://en.wikipedia.org/wiki/Iceman_(2014_film),http://upload.wikimedia.org/wikipedia/en/d/db/Iceman3D.jpg,"Iceman, formerly known as The Iceman Cometh, is a 2014 Hong Kong-Chinese3Dmartial artsaction-comedy film directed by Law Wing-cheung and starring Donnie Yen, who also serves as the film's action director. The film is a remake of the 1989 film The Iceman Cometh which was directed by Clarence Fok and starred Yuen Biao, who was earlier reported to join the film. Donnie Yen hand-picked Jam Hsiao for his unique voice and deep emotions to sing the mandarin theme song. The Cantonese version is sung by Hong Kong singer and actor Julian Cheung. The film was released in Hong Kong and China on April 25, 2014."
Jappeloup,France,2013,"$33,300,000",http://en.wikipedia.org/wiki/Jappeloup,http://medias.unifrance.org/medias/146/114/94866/format_page/jappeloup.png,"Jappeloup is a 2013 French film directed by Christian Duguay. In January 2014, Lou de Laâge was nominated for the Most Promising Actress award at the 39th César Awards."
Kong - The Origin,"China, South Korea",TBA,"$40,000,000",,,
La Vérité si je mens ! 3,France,2012,"$32,000,000",http://fr.wikipedia.org/wiki/La_V%C3%A9rit%C3%A9_si_je_mens_!_3,http://blog.zoomon.fr/wp-content/uploads/2012/01/21J_Lille1.jpg,"La Vérité si je mens ! 3 est un film français réalisé par Thomas Gilou,tourné en 2010 et sorti en 2012."
