ID,Name,Type,Year,Category (Saffir-Simpson Scale),Wind (knots),Area,Gender of Name,Month(s),Start Date,End Date,Duration (days),Page url
Ita - Cyclone (2014),Ita,Cyclone,2014,4,135,Southern Pacific,Female,April,4/04/2014,14/04/2014,11,http://weather.unisys.com/hurricane/s_pacific/2014/index.php
Ivy - Cyclone (2004),Ivy,Cyclone,2004,3,110,Southern Pacific,Female,February,22/02/2004,29/02/2004,8,http://weather.unisys.com/hurricane/s_pacific/2004/index.php
Jasmine - Cyclone (2012),Jasmine,Cyclone,2012,4,115,Southern Pacific,Female,February,4/02/2012,15/02/2012,12,http://weather.unisys.com/hurricane/s_pacific/2012/index.php
Jo - Cyclone (2000),Jo,Cyclone,2000,1,65,Southern Pacific,Female,January,24/01/2000,27/01/2000,4,http://weather.unisys.com/hurricane/s_pacific/2000/index.php
Kerry - Cyclone (2005),Kerry,Cyclone,2005,2,90,Southern Pacific,Female,January,5/01/2005,12/01/2005,8,http://weather.unisys.com/hurricane/s_pacific/2005/index.php
Kim - Cyclone (2000),Kim,Cyclone,2000,1,80,Southern Pacific,Female,February,24/02/2000,29/02/2000,6,http://weather.unisys.com/hurricane/s_pacific/2000/index.php
Lusi - Cyclone (2014),Lusi,Cyclone,2014,1,70,Southern Pacific,Female,March,9/03/2014,13/03/2014,5,http://weather.unisys.com/hurricane/s_pacific/2014/index.php
Meena - Cyclone (2005),Meena,Cyclone,2005,4,125,Southern Pacific,Female,February,3/02/2005,7/02/2005,5,http://weather.unisys.com/hurricane/s_pacific/2005/index.php
Monica - Cyclone (2006) - Southern Pacific,Monica,Cyclone,2006,5,155,Southern Pacific,Female,April,17/04/2006,24/04/2006,8,http://weather.unisys.com/hurricane/s_pacific/2006/index.php
Nancy - Cyclone (2005),Nancy,Cyclone,2005,4,125,Southern Pacific,Female,February,13/02/2005,16/02/2005,4,http://weather.unisys.com/hurricane/s_pacific/2005/index.php
Pat - Cyclone (2010),Pat,Cyclone,2010,2,90,Southern Pacific,Female,February,7/02/2010,11/02/2010,5,http://weather.unisys.com/hurricane/s_pacific/2010/index.php
Paula - Cyclone (2001),Paula,Cyclone,2001,2,90,Southern Pacific,Female,"February, March",27/02/2001,4/03/2001,6,http://weather.unisys.com/hurricane/s_pacific/2001/index.php
Sandra - Cyclone (2013),Sandra,Cyclone,2013,3,110,Southern Pacific,Female,March,7/03/2013,14/03/2013,8,http://weather.unisys.com/hurricane/s_pacific/2013/index.php
Sose - Cyclone (2001),Sose,Cyclone,2001,1,65,Southern Pacific,Female,April,6/04/2001,11/04/2001,6,http://weather.unisys.com/hurricane/s_pacific/2001/index.php
Waka - Cyclone (2002),Waka,Cyclone,"2002, 2003",2,90,Southern Pacific,Female,"December, January",29/12/2002,2/01/2003,5,http://weather.unisys.com/hurricane/s_pacific/2002/index.php
Waka - Cyclone (2001),Waka,Cyclone,2001,3,100,Southern Pacific,Female,December,29/12/2001,31/12/2001,3,http://weather.unisys.com/hurricane/s_pacific/2001/index.php
Wati - Cyclone (2006),Wati,Cyclone,2006,1,80,Southern Pacific,Female,March,19/03/2006,24/03/2006,6,http://weather.unisys.com/hurricane/s_pacific/2006/index.php
Wilma - Cyclone (2011),Wilma,Cyclone,2011,4,115,Southern Pacific,Female,January,22/01/2011,28/01/2011,7,http://weather.unisys.com/hurricane/s_pacific/2011/index.php
Yani - Cyclone (2006),Yani,Cyclone,2006,1,65,Southern Pacific,Female,November,22/11/2006,25/11/2006,4,http://weather.unisys.com/hurricane/s_pacific/2006/index.php
Yasi - Cyclone (2011),Yasi,Cyclone,2011,4,135,Southern Pacific,Female,"January, February",30/01/2011,3/02/2011,5,http://weather.unisys.com/hurricane/s_pacific/2011/index.php
Zelia - Cyclone (2011),Zelia,Cyclone,2011,2,90,Southern Pacific,Female,January,14/01/2011,17/01/2011,4,http://weather.unisys.com/hurricane/s_pacific/2011/index.php
Zoe - Cyclone (2002),Zoe,Cyclone,2002,5,155,Southern Pacific,Female,December,25/12/2002,31/12/2002,7,http://weather.unisys.com/hurricane/s_pacific/2002/index.php
Giri - Cyclone (2010),Giri,Cyclone,2010,4,135,Northern Indian,Male,October,21/10/2010,22/10/2010,2,http://weather.unisys.com/hurricane/n_indian/2010H/index.php
Hudhud - Cyclone (2014),Hudhud,Cyclone,2014,4,115,Northern Indian,Male,October,8/10/2014,12/10/2014,5,http://weather.unisys.com/hurricane/n_indian/2014/index.php
Jal - Cyclone (2010),Jal,Cyclone,2010,1,70,Northern Indian,Male,November,4/11/2010,7/11/2010,4,http://weather.unisys.com/hurricane/n_indian/2010H/index.php
Abele - Cyclone (2010),Abele,Cyclone,2010,1,75,Southern Indian,Male,"November, December",29/11/2010,3/12/2010,5,http://weather.unisys.com/hurricane/s_indian/2010H/index.php
Alistair - Cyclone (2001),Alistair,Cyclone,2001,1,65,Southern Indian,Male,April,16/04/2001,21/04/2001,6,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Ando - Cyclone (2001),Ando,Cyclone,2001,4,125,Southern Indian,Male,January,2/01/2001,10/01/2001,9,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Bertie Alvin - Cyclone (2005),Bertie Alvin,Cyclone,2005,4,115,Southern Indian,Male,November,19/11/2005,26/11/2005,8,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Bessi - Cyclone (2001),Bessi,Cyclone,2001,1,65,Southern Indian,Male,"November, December",27/11/2001,5/12/2001,9,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Billy - Cyclone (2008),Billy,Cyclone,2008,3,105,Southern Indian,Male,December,18/12/2008,27/12/2008,10,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Boloetse - Cyclone (2006),Boloetse,Cyclone,2006,3,100,Southern Indian,Male,"January, February",25/01/2006,5/02/2006,12,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Bondo - Cyclone (2006),Bondo,Cyclone,2006,4,120,Southern Indian,Male,December,18/12/2006,26/12/2006,9,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Bongwe - Cyclone (2007),Bongwe,Cyclone,2007,1,65,Southern Indian,Male,November,18/11/2007,23/11/2007,6,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Bruce - Cyclone (2013),Bruce,Cyclone,2013,5,140,Southern Indian,Male,December,17/12/2013,24/12/2013,8,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Carlos - Cyclone (2011),Carlos,Cyclone,2011,1,65,Southern Indian,Male,February,15/02/2011,26/02/2011,12,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Charly - Cyclone (2001),Charly,Cyclone,2001,3,105,Southern Indian,Male,January,19/01/2001,25/01/2001,7,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Chris - Cyclone (2002),Chris,Cyclone,2002,4,125,Southern Indian,Male,February,3/02/2002,6/02/2002,4,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Clovis - Cyclone (2007),Clovis,Cyclone,2007,1,65,Southern Indian,Male,January,1/01/2007,4/01/2007,4,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Daryl - Cyclone (2006),Daryl,Cyclone,2006,1,65,Southern Indian,Male,January,19/01/2006,22/01/2006,4,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Dumile - Cyclone (2013),Dumile,Cyclone,2013,1,70,Southern Indian,Male,January,1/01/2013,5/01/2013,5,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Eddy - Cyclone (2002),Eddy,Cyclone,2002,1,65,Southern Indian,Male,January,24/01/2002,28/01/2002,5,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Ernest - Cyclone (2005),Ernest,Cyclone,2005,3,100,Southern Indian,Male,January,20/01/2005,23/01/2005,4,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Evariste - Cyclone (2001),Evariste,Cyclone,2001,1,75,Southern Indian,Male,April,3/04/2001,8/04/2001,6,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Fanele - Cyclone (2009),Fanele,Cyclone,2009,3,100,Southern Indian,Male,January,19/01/2009,22/01/2009,4,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Favio - Cyclone (2007),Favio,Cyclone,2007,4,125,Southern Indian,Male,February,14/02/2007,23/02/2007,10,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Felleng - Cyclone (2013),Felleng,Cyclone,2013,4,115,Southern Indian,Male,"January, February",26/01/2013,3/02/2013,9,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Floyd - Cyclone (2006),Floyd,Cyclone,2006,4,115,Southern Indian,Male,March,21/03/2006,26/03/2006,6,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Funso - Cyclone (2012),Funso,Cyclone,2012,1,65,Southern Indian,Male,January,19/01/2012,28/01/2012,10,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Gael - Cyclone (2009),Gael,Cyclone,2009,4,120,Southern Indian,Male,February,2/02/2009,10/02/2009,9,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
George - Cyclone (2007),George,Cyclone,2007,3,110,Southern Indian,Male,March,3/03/2007,9/03/2007,7,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Gino - Cyclone (2013),Gino,Cyclone,2013,2,90,Southern Indian,Male,February,11/02/2013,15/02/2013,5,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Guillaume - Cyclone (2002),Guillaume,Cyclone,2002,4,120,Southern Indian,Male,February,15/02/2002,22/02/2002,8,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Hary - Cyclone (2002),Hary,Cyclone,2002,5,140,Southern Indian,Male,March,6/03/2002,13/03/2002,8,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Hennie - Cyclone (2005),Hennie,Cyclone,2005,1,65,Southern Indian,Male,March,21/03/2005,25/03/2005,5,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Hondo - Cyclone (2008),Hondo,Cyclone,2008,4,125,Southern Indian,Male,February,4/02/2008,24/02/2008,21,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Humba - Cyclone (2007),Humba,Cyclone,2007,1,70,Southern Indian,Male,February,21/02/2007,26/02/2007,6,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Iggy - Cyclone (2012),Iggy,Cyclone,2012,4,125,Southern Indian,Male,"January, February",25/01/2012,2/02/2012,9,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Ivan - Cyclone (2008),Ivan,Cyclone,2008,4,115,Southern Indian,Male,February,7/02/2008,18/02/2008,12,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Jacob - Cyclone (2007),Jacob,Cyclone,2007,1,75,Southern Indian,Male,March,7/03/2007,12/03/2007,6,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Kamba - Cyclone (2008),Kamba,Cyclone,2008,3,110,Southern Indian,Male,March,7/03/2008,12/03/2008,6,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Koji - Cyclone (2012),Koji,Cyclone,2012,2,95,Southern Indian,Male,March,7/03/2012,12/03/2012,6,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Lee ariel - Cyclone (2007),Lee ariel,Cyclone,2007,1,65,Southern Indian,Male,November,14/11/2007,18/11/2007,5,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Leon eline - Cyclone (2000),Leon eline,Cyclone,2000,3,100,Southern Indian,Male,March,4/03/2000,23/03/2000,20,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Nicholas - Cyclone (2008),Nicholas,Cyclone,2008,1,80,Southern Indian,Male,February,12/02/2008,20/02/2008,9,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Norman - Cyclone (2000),Norman,Cyclone,2000,4,120,Southern Indian,Male,March,1/03/2000,8/03/2000,8,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Pancho - Cyclone (2008),Pancho,Cyclone,2008,2,95,Southern Indian,Male,March,24/03/2008,29/03/2008,6,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Paul - Cyclone (2000),Paul,Cyclone,2000,4,125,Southern Indian,Male,April,13/04/2000,21/04/2000,9,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Rusty - Cyclone (2013),Rusty,Cyclone,2013,2,95,Southern Indian,Male,February,24/02/2013,27/02/2013,4,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Sam - Cyclone (2000),Sam,Cyclone,2000,4,,Southern Indian,Male,December,5/12/2000,9/12/2000,5,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Walter - Cyclone (2001),Walter,Cyclone,2001,2,90,Southern Indian,Male,April,3/04/2001,8/04/2001,6,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Willy - Cyclone (2005),Willy,Cyclone,2005,2,90,Southern Indian,Male,March,9/03/2005,14/03/2005,6,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Arthur - Cyclone (2007),Arthur,Cyclone,2007,1,65,Southern Pacific,Male,January,24/01/2007,26/01/2007,3,http://weather.unisys.com/hurricane/s_pacific/2007/index.php
Beni - Cyclone (2003),Beni,Cyclone,2003,4,125,Southern Pacific,Male,January,25/01/2003,31/01/2003,7,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Daman - Cyclone (2007),Daman,Cyclone,2007,3,105,Southern Pacific,Male,December,5/12/2007,9/12/2007,5,http://weather.unisys.com/hurricane/s_pacific/2007/index.php
Dovi - Cyclone (2003),Dovi,Cyclone,2003,4,130,Southern Pacific,Male,February,5/02/2003,10/02/2003,6,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Evan - Cyclone (2012),Evan,Cyclone,2012,4,115,Southern Pacific,Male,December,11/12/2012,19/12/2012,9,http://weather.unisys.com/hurricane/s_pacific/2012/index.php
Garry - Cyclone (2013),Garry,Cyclone,2013,2,85,Southern Pacific,Male,January,20/01/2013,27/01/2013,8,http://weather.unisys.com/hurricane/s_pacific/2013/index.php
Gene - Cyclone (2008),Gene,Cyclone,2008,3,100,Southern Pacific,Male,"January, February",28/01/2008,6/02/2008,10,http://weather.unisys.com/hurricane/s_pacific/2008/index.php
Guba - Cyclone (2007),Guba,Cyclone,2007,1,75,Southern Pacific,Male,November,13/11/2007,19/11/2007,7,http://weather.unisys.com/hurricane/s_pacific/2007/index.php
