ID,Brand,Place of sample acquisitions,"Peroxide Value, Extra Virgin Limits?",Peroxide Value,Peroxide Value - Extra Virgin is less than,"UV Absorption, K232, Extra Virgin Limits?","UV Absorption, K232","UV Absorption, K232 - Extra Virgin is less than","UV Absorption, K268, Extra Virgin Limits?","UV Absorption, K268","UV Absorption, K268 - Extra Virgin is less than","UV Absorption, ΔK, Extra Virgin Limits?","UV Absorption, ΔK","UV Absorption, ΔK - Extra Virgin is less than","Free Fatty Acids, Extra Virgin Limits?",Free Fatty Acids,Free Fatty Acids - Extra Virgin is less than,"Stigmastadiene, Extra Virgin Limits?",Stigmastadiene,Stigmastadiene - Extra Virgin is less than,"Total Polyphenol Content, Extra Virgin Limits?",Total Polyphenol Content,"Pyropheophytins, Extra Virgin Limits?",Pyropheophytins,Pyropheophytins - Extra Virgin is less than,"1,2-Diacylglycerol Content, Extra Virgin Limits?","1,2-Diacylglycerol Content","1,2-Diacylglycerol Content  - Extra Virgin is more than","Sensory, Extra Virgin Limits?",Sensory,Imported?,Failed Analysis,Number of failed tests
Newmans Own Organics - Sacramento County,Newmans Own Organics,Sacramento County,Yes,10,20,No,2.55,2.51,Yes,0.2,0.23,Yes,<0.003,0.011,Yes,0.43,0.81,Yes,<0.03,0.11,N/A,165,Yes,13.7,16,No,36.3,39.9,No,Virgin,Imported,"UV Absorption | 1,2-Diacylglycerol Content | Sensory",3
Newmans Own Organics - San Francisco Bay Area,Newmans Own Organics,San Francisco Bay Area,Yes,9,20,Yes,2.49,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.42,0.81,Yes,<0.03,0.11,N/A,176,Yes,14,16,No,35.5,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
Pompeian - Los Angeles County,Pompeian,Los Angeles County,Yes,13,20,No,2.56,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.49,0.81,Yes,<0.03,0.11,N/A,188,No,16.3,16,No,35.9,39.9,No,Virgin,Imported,"UV Absorption | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",4
Pompeian - Sacramento County,Pompeian,Sacramento County,Yes,11,20,Yes,2.5,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,Yes,0.59,0.81,Yes,<0.03,0.11,N/A,132,Yes,12.1,16,No,38.5,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",3
Pompeian - San Francisco Bay Area,Pompeian,San Francisco Bay Area,Yes,13,20,No,2.6,2.51,Yes,0.16,0.23,Yes,<0.003,0.011,Yes,0.51,0.81,Yes,<0.03,0.11,N/A,111,Yes,10.5,16,No,31.5,39.9,No,Virgin,Imported,"UV Absorption | 1,2-Diacylglycerol Content | Sensory",3
Rachael Ray - Los Angeles County,Rachael Ray,Los Angeles County,Yes,9,20,Yes,2.08,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.43,0.81,Yes,<0.03,0.11,N/A,324,Yes,2,16,Yes,72.1,39.9,Yes,Extra Virgin,Imported,None,0
Rachael Ray - Sacramento County,Rachael Ray,Sacramento County,Yes,10,20,Yes,2.42,2.51,Yes,0.21,0.23,Yes,<0.003,0.011,Yes,0.43,0.81,Yes,<0.03,0.11,N/A,258,Yes,12.9,16,No,36.6,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
Rachael Ray - San Francisco Bay Area,Rachael Ray,San Francisco Bay Area,Yes,9,20,Yes,2.43,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,Yes,0.41,0.81,Yes,<0.03,0.11,N/A,239,Yes,12.2,16,No,36.3,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
Safeway Select - Los Angeles County,Safeway Select,Los Angeles County,Yes,11,20,Yes,2.2,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.55,0.81,Yes,<0.03,0.11,N/A,219,Yes,6.1,16,Yes,47.9,39.9,Yes,Extra Virgin,Imported,None,0
Safeway Select - Sacramento County,Safeway Select,Sacramento County,Yes,12,20,No,2.74,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,No,0.84,0.81,Yes,0.03,0.11,N/A,141,No,19.7,16,No,29.3,39.9,No,Virgin,Imported,"UV Absorption | Free Fatty Acids | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",5
Safeway Select - San Francisco Bay Area,Safeway Select,San Francisco Bay Area,Yes,11,20,Yes,2.19,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.58,0.81,Yes,<0.03,0.11,N/A,213,Yes,6,16,Yes,45.5,39.9,No,Virgin,Imported,Sensory,1
Star - Los Angeles County,Star,Los Angeles County,Yes,10,20,Yes,2.25,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.45,0.81,Yes,<0.03,0.11,N/A,237,Yes,8.3,16,Yes,47.3,39.9,Yes,Extra Virgin,Imported,None,0
Star - Sacramento County,Star,Sacramento County,Yes,9,20,Yes,2.29,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.49,0.81,Yes,<0.03,0.11,N/A,194,Yes,12.8,16,No,36.4,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
Star - San Francisco Bay Area,Star,San Francisco Bay Area,Yes,11,20,Yes,2.38,2.51,Yes,0.14,0.23,Yes,<0.003,0.011,Yes,0.47,0.81,Yes,<0.03,0.11,N/A,164,No,17.7,16,No,33.7,39.9,Yes,Extra Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content",2
